id,brand_name,description,name_rus,CommercialTypeName4,rating_1_count,rating_2_count,rating_3_count,rating_4_count,rating_5_count,comments_published_count,photos_published_count,videos_published_count,PriceDiscounted,item_time_alive,item_count_fake_returns7,item_count_fake_returns30,item_count_fake_returns90,item_count_sales7,item_count_sales30,item_count_sales90,item_count_returns7,item_count_returns30,item_count_returns90,GmvTotal7,GmvTotal30,GmvTotal90,ExemplarAcceptedCountTotal7,ExemplarAcceptedCountTotal30,ExemplarAcceptedCountTotal90,OrderAcceptedCountTotal7,OrderAcceptedCountTotal30,OrderAcceptedCountTotal90,ExemplarReturnedCountTotal7,ExemplarReturnedCountTotal30,ExemplarReturnedCountTotal90,ExemplarReturnedValueTotal7,ExemplarReturnedValueTotal30,ExemplarReturnedValueTotal90,ItemVarietyCount,ItemAvailableCount,seller_time_alive,ItemID,SellerID
17384,,"Приветствую! Мы собираем классные системные блоки с 2018 года! Нам очень близка игровая культура и мы понимаем как не просто стоять на миде ;-)

При сборке использовались современные комплектующие! Комплектующие обязательно только новые!
Быстрые SSD M.2 и оперативная память DDR5.
В сердце системного блока стоит легендарный AMD Ryzen, а конфигуратор позволяет выбрать одну из топовых видеокарт.

Гарантия 12 месяцев.
Операционная система в комплекте.
Системный блок полностью настроен и готов к работе из коробки.","LeBefane Системный блок (AMD Ryzen 5 7500F, RAM 64 ГБ, SSD 1000 ГБ, NVIDIA GeForce RTX 4070 SUPER (12 Гб), Windows 11 Pro), белый",Настольный компьютер,,,,,,,,,1231.4521279983198,94,0,0,0,0,0,0,0,0,0,1424.003155175552,1488.8115624041327,1554.2085923126767,10.0,24.0,59.0,10.0,24.0,59.0,0.0,1.0,3.0,0.0,658.0853030907656,768.0208495776274,1.0,1.0,1010.0,8777,398
260316,Canon,"<li>Тип товара Новый</li><li><b>Тип</b> Картридж<li><b>Назначение</b> для лазерных принтеров/МФУ<li><b>Цвет</b> черный<li><b>Цвет картриджа</b> черный<li><b>Модель</b> 071H<li><b>PartNumber/Артикул Производителя</b> 5646C002<li><b>Ресурс, страниц</b> 2500<li><b>Принадлежность к группе</b> Оригинальные<li><b>Принадлежность к подгруппе</b> Тонер-картриджи<li><b>Совместимость</b> i-SENSYS LBP122dw/MF272dw/ MF275dw<li><b>Оригинальность</b> оригинальный<li><b>Повышенная ёмкость/ресурс</b> ДА<li><b>Длина упаковки (ед)</b> 0.365<li><b>Ширина упаковки (ед)</b> 0.11<li><b>Габариты упаковки (ед) ДхШхВ</b> 0.365x0.11x0.135<li><b>Высота упаковки (ед)</b> 0.135<li><b>Вес упаковки (ед)",Картридж лазерный Canon 071H 5646C002 черный (2500стр.) для Canon i-SENSYS LBP122dw/MF272dw/ MF275dw,"Картридж, чернила, тонер",,,,,,,,,961.0774302192816,49,0,0,0,0,0,0,0,0,0,1486.4335694833535,1609.9441168326314,1742.3422643701915,1010.0,3963.0,12647.0,779.0,3005.0,9651.0,18.0,102.0,277.0,1046.2842813073753,1259.7895035455124,1386.2276495276358,425.0,425.0,997.0,127929,576
10610,Devia,"Электронное перо Touch S-Pen для Samsung Galaxy Z Fold5 5G SM-F936B, SM-F946B, SM-F946B/DS, SM-F946U, SM-F946U1, SM-F946N, SM-F946W, SM-F9460. Идеально подходит для смартфона SAMSUNG GALAXY Z Fold5. <br/><br/>Высококачественный материал: <br/><br/>Изготовлен из высококачественного материала, не скользит в руках, поверхность сделана с максимальным эргономическим комфортом.","Стилус для Samsung Galaxy Z Fold5 5G/ SM-F946B, SM-F946B/DS",Стилус,,,,,,,,,844.2635795807067,48,0,0,0,1,1,1,0,0,0,1289.991915585082,1411.7560739655896,1511.2009095132182,612.0,2062.0,6447.0,586.0,1973.0,6142.0,15.0,93.0,244.0,934.1175809089916,1111.4165883868086,1201.633993865663,9.0,9.0,812.0,5341,1946
205236,GALAXY LINE,"Мультиварка GALAXY GL2643 имеет все необходимые функции для комфортного приготовления.10 программ позволят готовить без вашего контроля каши, крупы, супы, тушить овощи, готовить мясо, рагу, холодец, плов и мн. др.Мультиварка сможет разнообразить ваше меню блюдами, приготовленными на пару или в собственном соку без капли жира.Если вы придерживаетесь правильного питания или планируете сбросить вес, такая ""умная помощница"" поможет быстрее добиться нужного результата.Данная модель имеет ряд очевидных преимуществ. Функция отложенного старта до 24 часов позволит в","Мультиварка GALAXY GL2643 ( 900 Вт, 10 программ, таймер, дисплей, V чаши 5 л, антипригарное покрытие )/ для приготовления блюд","Мультиварка, скороварка",,,,,,,,,864.5023956716774,394,0,0,0,0,0,0,0,0,0,1397.6829764932938,1579.428078704953,1673.7680573940322,99.0,536.0,1667.0,93.0,482.0,1529.0,5.0,23.0,61.0,1067.9354160313464,1267.434380231827,1322.794836298462,8.0,8.0,785.0,100481,697
308655,MAUNFELD,"Чайники с ретро-термометром позволяет нагреть воду до определённой температуры, не доводя её до кипения<br/><br/>Стилизованный термометр с циферблатом отображает степень нагрева воды.<br/><br/>Простоте наполнение. Уникальная форма чайника и удобная крышка позволяют удобно наливать и сливать воду.<br/><br/>Прочная база с поворотом на 360С.<br/><br/>Для безопасного использования предусмотрено автоматическое и ручное отключение чайника.",Чайник электрический MAUNFELD MGK-625MINT. Товар уцененный,Чайник электрический,,,,,,,,,729.7570208017629,47,0,0,0,0,0,0,0,0,0,1703.608243731839,1882.5841823297328,1972.2251357901016,2867.0,15944.0,41722.0,2709.0,14949.0,39075.0,128.0,557.0,1476.0,1405.752984415081,1553.9057800415758,1643.785319704614,57.0,57.0,1767.0,151937,1575
28369,Kingston,"Универсальная карта памяти 10-го класса. Она предназначена для высокоскоростной обработки изображений и записи видео в разрешении 4К. С ней вы можете быть уверены, что кадры будут запечатлены без ошибок и графических искажений.<br/><br/>Скорость чтения - 170 МБ/с. Карта подходит для видеорегистраторов, планшетов и телефонов. В комплекте – адаптер на SD.",Карта памяти microSDXC Kingston Canvas GO Plus 256 ГБ (SDCG3/256GB),Карта памяти,,,,,,,,,810.7473036538858,1181,1,1,1,44,157,280,0,1,1,1774.6981402883414,1964.730102282241,2072.7318924503807,5308.0,32147.0,91510.0,4824.0,28841.0,80919.0,107.0,469.0,1757.0,1404.618432588735,1565.953104687591,1693.6878174048888,1.0,1.0,2129.0,14234,3484
153981,,"Дисплей Samsung E630<br/><br/>Дисплей подходит для замены поврежденного на смартфон.<br/><br/>Рекомендуем производить замену запчастей для гаджета в сервисном центре, чтобы не повредить хрупкие элементы устройства.",Дисплей Samsung E630,Корпуса для телефонов,,,,,,,,,648.1172323594025,96,0,0,0,0,0,0,0,0,0,1062.812922600788,1203.020413118107,1309.2124281610106,72.0,326.0,905.0,57.0,251.0,771.0,4.0,7.0,22.0,763.0398073291194,833.5551651839538,957.691894785637,29.0,28.0,389.0,75636,384
206982,Hi-Black,"артикул - vt-2710, Картридж Hi-Black  ML-1710D3  для Samsung ML-1510/1710/Xerox Ph3120/PE16,  , 3K, Черный (black)","2 штуки, Картридж Hi-Black ML-1710D3 для Samsung ML-1510/1710/Xerox Ph3120/PE16, , 3K, Черный (black)","Картридж, чернила, тонер",,,,,,,,,782.9597647999841,59,0,0,0,0,0,0,0,0,0,1116.5268983525682,1265.9940479597938,1403.229636873751,40.0,187.0,832.0,32.0,150.0,590.0,0.0,4.0,14.0,0.0,793.8110975377848,937.5032896306273,55.0,52.0,1468.0,101363,720
26823,JBL,"Насладитесь безупречным качеством звука и комфортом с беспроводными наушниками JBL. Новейшая технология Bluetooth позволяет наслаждаться музыкой без проводов и сложных подключений. Идеальный выбор для работы, спорта или просто отдыха.

Особенности:
- Кристально чистый звук и глубокие басы, которые погружают в музыкальный мир.
- Удобный дизайн и эргономичная посадка, обеспечивающая комфорт при длительном использовании.
- Шумоподавление для полного погружения в музыку без посторонних звуков.
- Встроенный микрофон для удобных звонков и голосового управления.
",Беспроводные наушники Live Free NC+,Наушники Bluetooth,,,,,,,,,953.7403139610584,4,0,0,0,0,0,0,0,0,0,908.236251075072,908.2243097299051,908.2441070551704,2.0,2.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,17.0,85.0,13489,2283
254176,Xiaomi,"Новый Mi Band 7 Pro получил 1.64-дюймовый сенсорный AMOLED дисплей с разрешением 280 x 456 пикселей. Овальная капсула. Поддерживает 117 различных режимов тренировки и получил защиту от воды 5ATM. Основные системы спутникового позиционирования: GPS, ГЛОНАСС, Galileo и QZSS. Можно отправиться на пробежку, оставив смартфон дома. Мониторинг сна, датчик сердечного ритма, измерение насыщения крови кислородом, управление камерой, уведомления о звонках и сообщениях, быстрый ответ на входящие звонки.<br/><br/>Новый дизайн<br/><br/>Xiaomi Smart Band 7 Pro сильно отличается от базовой версии и уже больше по",Умный браслет Xiaomi Mi Smart Band 7 Pro (Black) RU. Товар уцененный,Фитнес-браслет,,,,,,,,,884.0315330845282,34,0,0,0,0,0,0,0,0,0,1096.2935947974988,1275.8565120000533,1406.332070363943,12.0,76.0,278.0,11.0,70.0,262.0,0.0,1.0,4.0,0.0,767.6542494928528,902.6699503986208,1.0,1.0,1163.0,124910,3253
373139,,"Системный блок для дома и офиса.
Современные и надёжные комплектующие в совокупе с качественной и бережной сборкой обеспечат Вам стабильную быструю работу на долгое время. 
Представленная сборка позволит закрыть все ежедневные потребности пользователя от офисных программ и веб-сёрфинга до лёгких и нетребовательных игр, просмотра видео-контента в хорошем качестве.
Вместе с этим Вы получаете уже активированную лицензионную операционную систему Windows 10 Pro, делая системный блок готовым к работе сразу после распаковки.
Минималистичный дизайн с ярким цвет","Системный блок (Intel Core i3-10100F, RAM 8 ГБ, SSD 240 ГБ, NVIDIA GeForce GTX 1660 SUPER (6 Гб), Windows 10 Pro), белый",Настольный компьютер,,,,,,,,,1101.635098836435,144,0,0,0,0,0,0,0,0,0,1305.3234985760205,1416.9649918623602,1547.5898110690316,11.0,34.0,207.0,9.0,29.0,183.0,1.0,8.0,11.0,1093.0098041614413,1246.0210782419836,1269.054717862162,1087.0,1087.0,205.0,183255,467
318902,Aceline,"Чернила водорастворимые Aceline CI1-M пурпурного цвета предназначены для заправки цветных струйных принтеров различных серий от Epson, HP, Canon, а также Brother. В основе данного изделия используется водная основа, а также высококачественные компоненты, которые в совокупности со специальными химическими формулами могут обеспечить высокое качество готовой цветной продукции – например, фотографий, плакатов или буклетов. При помощи этого красящего материала вы легко сможете порадовать себя и близких отпечатками с яркими и насыщенными цветами, а также качественно р",Чернила водорастворимые CI1-M пурпурный,"Картридж, чернила, тонер",,,,,,,,,653.6653839278082,40,0,0,0,0,0,0,0,0,0,883.7686682917218,1045.2879651376152,1134.6129052702634,3.0,15.0,37.0,3.0,12.0,33.0,0.0,1.0,2.0,0.0,792.3438995586287,898.5153100491784,3.0,3.0,275.0,156910,10870
219872,,"Системный блок для дома и офиса.
Современные и надёжные комплектующие в совокупе с качественной и бережной сборкой обеспечат Вам стабильную быструю работу на долгое время. 
Представленная сборка позволит закрыть все ежедневные потребности пользователя от офисных программ и веб-сёрфинга до лёгких и нетребовательных игр, просмотра видео-контента в хорошем качестве.
Вместе с этим Вы получаете уже активированную лицензионную операционную систему Windows 10 Pro, делая системный блок готовым к работе сразу после распаковки.
Минималистичный дизайн с ярким цвет","Системный блок (Intel Core i5-10400F, RAM 8 ГБ, SSD 240 ГБ, NVIDIA GeForce RTX 3060 (12 Гб), Windows 10 Pro), черный, черный матовый",Настольный компьютер,,,,,,,,,1133.7263571765834,144,0,0,0,0,0,0,0,0,0,1305.3253081531263,1416.9615390062156,1547.5946336132115,11.0,34.0,207.0,9.0,29.0,183.0,1.0,8.0,11.0,1093.023359008144,1246.0033661483496,1269.0703686916838,1087.0,1087.0,205.0,107972,467
378532,Polaris,Тостер Polaris PET 0927A<br/><br/>Тостер с функцией подогрева и размораживания.<br/><br/>7 степеней обжаривания.Мощность 920 В.,"Тостер Polaris PET 0927A, Белый",Тостер,,,,,,,,,925.619312911069,26,0,0,0,2,2,2,0,0,0,1504.5587069762253,1683.5681672354128,1755.9738374500448,657.0,3412.0,7488.0,649.0,3140.0,7065.0,30.0,114.0,205.0,1190.305596050053,1323.377323886232,1375.5472619452848,1.0,1.0,159.0,185722,228
234592,,"Геймпад беспроводной в черном корпусе с обтекаемыми рукоятками удобно удерживается в руках. Контроллер предназначен для совместной работы с игровой консолью PlayStation 4. Точное управление обеспечивается благодаря аналоговым джойстикам, крестовине, программируемым кнопкам и интуитивной сенсорной панели. Вибрационная отдача и разноцветная световая панель обеспечивают погружение в игру.<br/><br/>Геймпад подключается беспроводным способом на основе интерфейса Bluetooth. Разъем 3.5 mm jack предназначен для проводного соединения с гарнитурой. Интегрированный динами","Геймпад, Bluetooth, черный",Геймпад для игровой приставки,,,,,,,,,952.857078806286,22,0,0,0,0,0,0,0,0,0,1271.2711810184253,1368.7546018287017,1455.6350260711806,30.0,92.0,199.0,30.0,92.0,197.0,0.0,5.0,7.0,0.0,1059.1473221470862,1085.1609847158795,3.0,3.0,114.0,115110,4679
59501,,"Системный блок для дома и офиса.
Современные и надёжные комплектующие в совокупе с качественной и бережной сборкой обеспечат Вам стабильную быструю работу на долгое время. 
Представленная сборка позволит закрыть все ежедневные потребности пользователя от офисных программ и веб-сёрфинга до лёгких и нетребовательных игр, просмотра видео-контента в хорошем качестве.
Вместе с этим Вы получаете уже активированную лицензионную операционную систему Windows 10 Pro, делая системный блок готовым к работе сразу после распаковки.
Минималистичный дизайн с ярким цвет","Системный блок (Intel Core i3-10100F, RAM 16 ГБ, SSD 480 ГБ, AMD Radeon RX 5700 XT (8 Гб), Windows 10 Pro), черный, черный матовый",Настольный компьютер,,,,,,,,,1106.1564693384864,144,0,0,0,0,0,0,0,0,0,1305.3323546382803,1416.96010341256,1547.5731197906798,11.0,34.0,207.0,9.0,29.0,183.0,1.0,8.0,11.0,1093.0132807555665,1246.01459921656,1269.0318116035592,1087.0,1087.0,205.0,29821,467
230083,,"Системный блок для дома и офиса.
Современные и надёжные комплектующие в совокупе с качественной и бережной сборкой обеспечат Вам стабильную быструю работу на долгое время. 
Представленная сборка позволит закрыть все ежедневные потребности пользователя от офисных программ и веб-сёрфинга до лёгких и нетребовательных игр, просмотра видео-контента в хорошем качестве.
Вместе с этим Вы получаете уже активированную лицензионную операционную систему Windows 10 Pro, делая системный блок готовым к работе сразу после распаковки.
Минималистичный дизайн с ярким цвет","Системный блок (Intel Core i5-10400F, RAM 16 ГБ, SSD 960 ГБ, AMD Radeon RX 580 (8 Гб), Windows 10 Pro), черный, черный матовый",Настольный компьютер,,,,,,,,,1103.7261037590697,144,0,0,0,0,0,0,0,0,0,1305.3275990253,1416.9475430207026,1547.5845325128748,11.0,34.0,207.0,9.0,29.0,183.0,1.0,8.0,11.0,1093.0122908959004,1246.007983407119,1269.0550671562144,1087.0,1087.0,205.0,112982,467
365823,Electrolux,"<p>Газовая колонка Electrolux GWH 10 Ignition ECO – современное комфортное решение для квартир, не имеющих централизованного горячего водоснабжения. Многоуровневая система защиты обеспечивает стабильную и безопасную работу прибора. Дымоход Евростандарта исключает утечку угарного газа в помещение, что гарантируют безопасность использования устройства в доме на протяжении всего срока службы. </p>

Технология OXYGEN FREE
<p>Бескислородный, устойчивый к коррозии теплообменник нового поколения OXYGEN FREE изготовлен из высококачественной меди без примесей других металлов. По",Колонка газовая Electrolux GWH 10 Ignition ECO,Водонагреватель газовый,,,,,,,,,936.1157981464502,98,0,0,0,0,0,0,0,0,0,1068.3605686044964,1490.909582232577,1727.5533202710037,5.0,296.0,3555.0,4.0,237.0,2691.0,1.0,29.0,179.0,1053.816337588178,1260.0921119227771,1435.6493053656252,17.0,17.0,315.0,179651,4226
36939,Centek,"Чоппер Centek CT-1391 – полезное современное устройство, которое пригодится каждой хозяйке. Он без труда измельчит продукты в течение минуты. Прибор прост в использовании и справится с нарезкой овощей и фруктов. Помимо нарезания и измельчения устройство справится с функцией взбивания сливок. Прорезиненная подставка предотвратит скольжение прибора по столу. Лезвия изготовлены из качественной стали, обладающей прочностью и хорошими антикоррозийными свойствами. Компактные размеры позволят без труда разместить прибор в удобном месте. Импульсный режим рабо",Измельчитель CENTEK CT-1391 BLACK,"Овощерезка, терка, измельчитель электрические",,,,,,,,,753.5180609270268,128,0,0,0,0,0,0,0,0,0,1486.4238106753382,1609.959399758667,1742.3332804562967,1010.0,3963.0,12647.0,779.0,3005.0,9651.0,18.0,102.0,277.0,1046.3023357174436,1259.8021340110529,1386.238731835521,425.0,425.0,997.0,18575,576
158238,Microsoft,"Adventure Time: Explore the Dungeon Because I Don’t Know! — игра, основанная на мультфильме Adventure Time, от студии WayForward Technologies. Вам предстоит защитить королевство Леденцов от величайшей опасности, которая возникла из ниоткуда. Исследуйте секретную королевскую пещеру, расположенную глубоко под землей, и найдите способ остановить злобных существ.///",Игра Adventure Time Explore the Dungeon Because I Don't Know (Xbox 360) (Box),Видеоигра,,,,,,,,,845.1665374737969,147,0,0,0,0,0,0,0,0,0,1315.1419175755177,1463.8745976272512,1623.3947562750386,113.0,473.0,2446.0,108.0,460.0,2350.0,1.0,13.0,73.0,988.296211829742,1095.2080628460262,1253.7415154860612,95.0,95.0,301.0,77724,684
382299,Panasonic,"Пылесос Panasonic MC-CG715K выполнен в классическом стиле и оборудован мощным двигателем на 2100 Вт, поэтому обеспечивает высокую эффективность сухой уборки и качественные результаты при каждом использовании. Фильтр тонкой очистки тщательно задерживает пыль и аллергены. Сбор мусора осуществляется в мешок объемом 6 л. С помощью переключателя на корпусе можно плавно настраивать интенсивность воздушного потока.
Panasonic MC-CG715K поставляется в наборе с комбинированной насадкой для напольных покрытий и щелевой насадкой. Для исключительного удобства пылесос оборудован",Пылесос Panasonic MC-CG715K,Пылесос бытовой,,,,,,,,,1050.8804934153188,102,0,0,0,0,0,0,0,0,0,,1128.5403294672708,1370.261450906249,,1.0,15.0,,1.0,15.0,,0.0,0.0,,0.0,0.0,61.0,55.0,358.0,187462,654
326433,,Верхний (разговорный) динамик speaker для Samsung Galaxy G965F (S9 Plus)/G973F (S10)/G980F (S20)/N960F (Note 9)/N975F (Note 10 plus). Деталь полностью совместима с моделью.,Верхний (слуховой) динамик для Samsung Galaxy S9+ S10 S20/Note 9/Note 10+,Динамики/Звонки для телефонов,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,587.2637031618864,3,0,0,0,0,0,0,0,0,0,853.080374891989,945.2688669124024,945.2713201307938,15.0,39.0,39.0,15.0,39.0,39.0,1.0,1.0,1.0,584.0092354289691,584.0141376323071,584.0251586516315,2.0,2.0,42.0,160676,2168
172981,Dr. Boom,"Беспроводной контроллер для игровой приставки обеспечивает функцию вибрации и распознавания движений в трех плоскостях и точное и интуитивное управление игровым процессом. Благодаря использованию технологии Bluetooth, к одной игровой системе можно подключить одновременно до 7 беспроводных контроллеров без использования дополнительных внешних устройств.<br/><br/>Подключив геймпад через USB-порт, вы сможете играть одновременно заряжая аккумуляторные батареи беспроводного контроллера. Полного заряда батарей хватает на 5 часов беспроводной игры. <br/><br/>Тип: ","Dr. Boom Геймпад, Bluetooth, Проводной, фиолетовый",Геймпад для игровой приставки,12.0,3.0,6.0,11.0,52.0,8.0,18.0,3.0,655.7541261687122,816,1,1,4,4,43,96,2,3,10,1231.514592269317,1451.9313792927535,1506.1035196968578,206.0,1483.0,3305.0,185.0,1300.0,2885.0,27.0,101.0,204.0,1031.449177708194,1197.6220759726111,1239.7570552935697,8.0,8.0,1237.0,84768,6039
372167,,,Звонок для Samsung G313H Galaxy Ace 4 музык. динамик на шлейфе,Динамики/Звонки для телефонов,,,,,,,,,509.4244649611622,37,0,0,0,0,0,0,0,0,0,1108.345382099822,1284.646354499474,1369.7755122963365,100.0,542.0,1304.0,98.0,501.0,1226.0,13.0,30.0,53.0,926.34411966574,1015.2492267560528,1059.7161636698418,33.0,32.0,1229.0,182805,945
406155,SanDisk,Характеристики<ul><li>Тип карты памяти:SDXC </li><li>Совместимость:SDXC </li><li>Объем карты памяти:128 Гб </li><li>Класс скорости:UHS-II U3 V60 </li><li>Скорость чтения до:280 Мб/с </li><li>Скорость записи до:100 Мб/с </li></ul>,Карта памяти 128Gb SanDisk Extreme Pro SDXC UHS-II U3 V60 (280/100 MB/s),Карта памяти,,,,,,,,,936.4792410907492,407,0,0,0,0,0,0,0,0,0,1641.5313223882945,1767.3603799120192,1876.9889238551689,5556.0,17467.0,46376.0,4262.0,13324.0,35327.0,85.0,378.0,1103.0,1264.3724211374029,1407.654297124882,1523.5793780020165,1.0,1.0,1004.0,198292,405
244109,ProFDetali,"LED подсветка для телевизора Philips 55PUT6002/56 8x6-540мм-6v.</p>
<p>Партномер: K550WDC1 A2, 4708-K550WD-A2113N01, K550WDC1 A1, 4708-K55WDC-A1113N01, 471R1P79 совместима с телевизором Philips 55PUT6002/56.</p>
<p>Диагональ: 55""  </p> 
<p> Информация: 8 планок 540 мм по 6 светодиодов  </p>
 
    <p>Напряжение диодов: 6v </p> 
    <p>За комплект: Да </p>        <p>Перед покупкой сверьте модель телевизора, количество линз, разъем подключения, напряжение диодов.",LED подсветка для телевизора Philips 55PUT6002/56 8x6-540мм-6v,Вентилятор для ноутбука,,,,,,,,,802.5642930144147,61,0,0,0,0,0,0,0,0,0,1346.7884384159508,1477.8076268035556,1591.2221018299624,195.0,780.0,2461.0,191.0,773.0,2432.0,21.0,82.0,218.0,1128.6292207613842,1274.5385773421829,1362.4695597603004,105.0,105.0,569.0,119914,24
150486,,"ОПИСАНИЕ ТАРИФА: как активировать и регистрировать номер? - полная инструкция в самом заказе<br/><br/>- ограничения по трафику 50 ГБ в месяц.<br/><br/>- ограничения по скорости нет - всегда максимальная скорость, которую предоставляет Мегафон в вашем регионе до 300 Мбит/сек.<br/><br/>- абонентская плата – 300 рублей в месяц!<br/><br/>-стоимость подключения -50 рублей!<br/><br/>-баланс сим карты составляет-0 рублей!<br/><br/>- поддерживаемые стандарты: 2G 3G 4G(LTE).<br/><br/>- sim-карты стандартные и микро.<br/><br/>- доступ в личный кабинет.<br/><br/>- активация номера занимает до 24 часов после введения Ваших д",SIM-карта (Вся Россия),SIM-карта,,,,,,,,,532.4633495880248,22,0,0,0,0,0,0,0,0,0,911.3033554809064,940.2858517421118,1190.4882083796665,5.0,6.0,43.0,4.0,5.0,42.0,0.0,1.0,3.0,0.0,670.0125383185365,975.5983714215562,3.0,3.0,169.0,73831,8027
267569,Karcher,"Пароочиститель Karcher SC 5 EasyFix Iron Plug — самый мощный аппарат в классе, гарантирующий максимальную эффективность уборки. Система фиксации аксессуаров EasyFix позволяет быстро подготовить аппарат к работе, избежать контакта с грязью. 2-резервуарная система обеспечивает непрерывную подачу пара: дополнительный резервуар даёт возможность доливать воду в съёмный бак пароочистителя, не прекращая работу.<br/><br/>Первоначальное время нагрева всего 3 минуты. Модель имеет разъём, позволяющий подключать паровой утюг (опция). 4-ступенчатый регулятор мощности пара на корпус",Пароочиститель Karcher SC 5 EasyFix Iron Plug *EU 1.512-660.0,Пароочиститель,,,,,,,,,1109.9313461483184,338,0,0,0,0,0,0,0,0,0,1473.045143514091,1584.0160247505876,1666.146546612449,249.0,781.0,2020.0,230.0,737.0,1903.0,1.0,5.0,29.0,712.4735386538413,1025.9222474617775,1241.3469451578426,11.0,11.0,911.0,131585,304
302601,Pro Cover,"Покрытие для Macbook Pro13 M1<ul><li>изготавливается из премиального покрытия с микроканалами, которые не образуют пузыри при нанесении.</li><li>клеевой слой не оставляет следов, а также при неудачном нанесении покрытия с первого раза, можно повторить процедуру</li><li>мы принципиально не используем логотипы в дизайне принтов, никаких навязанных брендов на вашем устройстве</li><li>покрытие которое не увеличивает размеры и вес девайса, оставляя габаритный дизайн таким, каким его создали в Apple</li></ul>","Виниловое покрытие, наклейка для MacBook Pro 13 M1/M2 Крышка + Задняя часть",Наклейка для ноутбука,,,,,,,,,762.6566904449714,870,0,0,0,0,0,0,0,0,0,1085.1465065985517,1251.2377835970724,1351.900905154508,27.0,146.0,390.0,24.0,141.0,380.0,6.0,10.0,33.0,932.2798598208416,983.5089673581608,1105.3481359005411,1.0,1.0,1258.0,148943,137